stamp,x,y,qx,qy,qz,qw
3381.781000,10.931802,1.920871,0.000000,0.000000,-0.996605,0.082327
3381.983000,10.818598,1.902927,0.000000,0.000000,-0.996699,0.081182
3382.183000,10.704484,1.882589,0.000000,0.000000,-0.995989,0.089474
3382.384000,10.598139,1.858988,0.000000,0.000000,-0.995254,0.097315
3382.586000,10.490950,1.836080,0.000000,0.000000,-0.994335,0.106289
3382.787000,10.384599,1.810876,0.000000,0.000000,-0.993397,0.114726
3382.988000,10.267074,1.784535,0.000000,0.000000,-0.991834,0.127532
3383.189000,10.158494,1.756868,0.000000,0.000000,-0.991425,0.130676
3383.389000,10.045694,1.726033,0.000000,0.000000,-0.990528,0.137313
3383.591000,9.940648,1.697985,0.000000,0.000000,-0.991503,0.130086
3383.792000,9.836343,1.668093,0.000000,0.000000,-0.991894,0.127066
3383.994000,9.732951,1.642806,0.000000,0.000000,-0.992232,0.124401
3384.199000,9.629133,1.619097,0.000000,0.000000,-0.992792,0.119850
3384.400000,9.522545,1.594516,0.000000,0.000000,-0.993590,0.113040
3384.668000,9.400340,1.567157,0.000000,0.000000,-0.994624,0.103553
3385.003000,9.281901,1.541608,0.000000,0.000000,-0.995528,0.094468
3385.405000,9.185910,1.524577,0.000000,0.000000,-0.996537,0.083147
3387.281000,9.104408,1.511184,0.000000,0.000000,-0.998581,0.053262
3387.683000,8.920577,1.482776,0.000000,0.000000,-0.999942,0.010761
3387.750000,8.909838,1.465919,0.000000,0.000000,-0.999972,0.007481
3387.884000,8.898907,1.464453,0.000000,0.000000,-0.999935,0.011411
3388.018000,8.896212,1.472493,0.000000,0.000000,-0.999940,0.010978
3389.161000,8.671044,1.415461,0.000000,0.000000,-0.997509,0.070535
3389.363000,8.480414,1.380629,0.000000,0.000000,-0.989789,0.142540
3389.497000,8.363624,1.351206,0.000000,0.000000,-0.980757,0.195234
3389.631000,8.247886,1.315643,0.000000,0.000000,-0.969006,0.247039
3389.764000,8.164877,1.290661,0.000000,0.000000,-0.953541,0.301262
